"Job_Role","Company","Location","Job Type","Salary","Experience Required","Date","Job Portal","Education Requirement","Skills","Remote/Onsite","Company Size"
"Graphic Designer","Infosys","Jaipur","Part-time","2000000.0","5-10 years","2025-01-02","LinkedIn","PhD","Digital Marketing, AWS, UI/UX","Onsite","Large (500+)"
"Data Scientist","Microsoft","Ahmedabad","Full-time","1000000.0","5-10 years","2025-01-01","Indeed","MBA","Python, SQL, AWS","Hybrid","Large (500+)"
"Marketing Executive","TCS","Mumbai","Full-time","2000000.0","0-2 years","2024-12-28","LinkedIn","PhD","Excel, Digital Marketing, C++","Remote","Small (1-50)"
"Business Analyst","Accenture","Noida","Internship","1000000.0","2-5 years","2024-12-27","LinkedIn","B.Tech","AWS, Python, Digital Marketing","Remote","Small (1-50)"
"Software Engineer","Accenture","Bangalore","Contract","2000000.0","10+ years","2025-01-06","Indeed","M.Tech","SQL, Machine Learning, Digital Marketing","Hybrid","Large (500+)"
"Sales Representative","Deloitte","Noida","Full-time","2000000.0","5-10 years","2025-01-03","Naukri.com","PhD","Digital Marketing, Excel, Machine Learning","Hybrid","Medium (51-500)"
"Graphic Designer","Wipro","Bangalore","Part-time","1000000.0","2-5 years","2025-01-19","Naukri.com","M.Tech","Java, UI/UX, C++","Onsite","Large (500+)"
"Sales Representative","IBM","Delhi","Internship","400000.0","10+ years","2024-12-24","Indeed","B.Sc","UI/UX, React, SQL","Hybrid","Large (500+)"
"Software Engineer","HCL","Jaipur","Internship","1000000.0","10+ years","2025-01-12","Indeed","MBA","Python, AWS, UI/UX","Hybrid","Large (500+)"
"Product Manager","Accenture","Kolkata","Internship","1600000.0","10+ years","2024-12-29","Naukri.com","M.Tech","Excel, SQL, Java","Hybrid","Medium (51-500)"
"HR Manager","IBM","Chennai","Contract","1000000.0","2-5 years","2025-01-20","LinkedIn","M.Tech","Java, SQL, React","Remote","Small (1-50)"
"Business Analyst","Wipro","Mumbai","Full-time","650000.0","2-5 years","2025-01-04","Naukri.com","B.Sc","UI/UX, React, AWS","Hybrid","Large (500+)"
"Financial Analyst","TCS","Hyderabad","Full-time","650000.0","5-10 years","2025-01-06","Naukri.com","B.Tech","AWS, UI/UX, Java","Onsite","Medium (51-500)"
"Product Manager","Google","Chennai","Internship","1000000.0","0-2 years","2025-01-05","Indeed","B.Sc","Python, Java, UI/UX","Hybrid","Medium (51-500)"
"Business Analyst","IBM","Kolkata","Internship","2000000.0","2-5 years","2025-01-17","LinkedIn","M.Tech","Java, Excel, C++","Hybrid","Small (1-50)"
"Financial Analyst","Deloitte","Jaipur","Part-time","1000000.0","10+ years","2024-12-24","Indeed","PhD","Excel, SQL, Digital Marketing","Remote","Medium (51-500)"
"Product Manager","Accenture","Ahmedabad","Part-time","2000000.0","2-5 years","2025-01-13","Naukri.com","B.Tech","Excel, AWS, React","Hybrid","Medium (51-500)"
"Data Scientist","Deloitte","Ahmedabad","Internship","400000.0","5-10 years","2025-01-21","LinkedIn","MBA","Excel, Java, SQL","Remote","Medium (51-500)"
"Software Engineer","HCL","Delhi","Internship","1600000.0","10+ years","2025-01-12","LinkedIn","MBA","Java, Machine Learning, Digital Marketing","Remote","Small (1-50)"
"Cyber Security Analyst","Amazon","Bangalore","Contract","2000000.0","10+ years","2025-01-09","Naukri.com","B.Tech","AWS, Python, Excel","Onsite","Medium (51-500)"
"Financial Analyst","Google","Bangalore","Internship","1000000.0","0-2 years","2024-12-23","Naukri.com","PhD","Digital Marketing, Python, React","Hybrid","Small (1-50)"
"Product Manager","TCS","Bangalore","Internship","650000.0","5-10 years","2025-01-07","Naukri.com","B.Tech","C++, Excel, Python","Hybrid","Small (1-50)"
"Cyber Security Analyst","Accenture","Ahmedabad","Part-time","2000000.0","5-10 years","2025-01-06","LinkedIn","B.Tech","React, SQL, Machine Learning","Hybrid","Medium (51-500)"
"Product Manager","HCL","Ahmedabad","Part-time","650000.0","5-10 years","2025-01-22","Naukri.com","B.Sc","Python, C++, AWS","Hybrid","Medium (51-500)"
"Data Scientist","TCS","Kolkata","Internship","1000000.0","2-5 years","2025-01-19","LinkedIn","MBA","React, Machine Learning, Python","Onsite","Medium (51-500)"
"Software Engineer","Accenture","Noida","Full-time","400000.0","10+ years","2025-01-16","Naukri.com","MBA","AWS, Python, Machine Learning","Onsite","Large (500+)"
"Data Scientist","Amazon","Mumbai","Part-time","1600000.0","0-2 years","2025-01-08","Naukri.com","B.Sc","Digital Marketing, Excel, Java","Hybrid","Large (500+)"
"Product Manager","Google","Bangalore","Part-time","1000000.0","0-2 years","2025-01-22","Indeed","M.Tech","UI/UX, Python, Machine Learning","Onsite","Small (1-50)"
"Product Manager","Infosys","Kolkata","Full-time","1000000.0","2-5 years","2025-01-08","Naukri.com","B.Tech","Java, Digital Marketing, C++","Remote","Medium (51-500)"
"Graphic Designer","HCL","Noida","Full-time","2000000.0","5-10 years","2025-01-14","Naukri.com","B.Tech","SQL, Digital Marketing, UI/UX","Remote","Medium (51-500)"
"Marketing Executive","Microsoft","Chennai","Contract","2000000.0","0-2 years","2025-01-14","LinkedIn","PhD","React, Java, Excel","Hybrid","Large (500+)"
"Marketing Executive","IBM","Kolkata","Contract","1600000.0","0-2 years","2025-01-20","Indeed","PhD","Python, Excel, Digital Marketing","Remote","Small (1-50)"
"Data Scientist","HCL","Jaipur","Contract","1000000.0","5-10 years","2024-12-30","Indeed","M.Tech","SQL, Java, Excel","Onsite","Medium (51-500)"
"Business Analyst","Deloitte","Kolkata","Full-time","1600000.0","2-5 years","2025-01-04","LinkedIn","PhD","React, AWS, Excel","Onsite","Large (500+)"
"Graphic Designer","Deloitte","Pune","Contract","1600000.0","5-10 years","2025-01-11","Indeed","B.Tech","React, AWS, Excel","Onsite","Small (1-50)"
"Business Analyst","Wipro","Kolkata","Contract","400000.0","10+ years","2025-01-20","LinkedIn","B.Sc","UI/UX, C++, AWS","Hybrid","Large (500+)"
"Cyber Security Analyst","TCS","Pune","Internship","1600000.0","2-5 years","2024-12-29","LinkedIn","B.Sc","C++, Java, SQL","Remote","Small (1-50)"
"Sales Representative","Accenture","Pune","Part-time","1000000.0","0-2 years","2025-01-01","Naukri.com","B.Tech","Digital Marketing, SQL, Java","Hybrid","Small (1-50)"
"Graphic Designer","Infosys","Delhi","Internship","650000.0","5-10 years","2025-01-17","Indeed","B.Sc","Digital Marketing, Machine Learning, AWS","Onsite","Medium (51-500)"
"Software Engineer","Google","Pune","Contract","650000.0","0-2 years","2024-12-25","LinkedIn","B.Tech","C++, React, SQL","Onsite","Large (500+)"
"Marketing Executive","IBM","Ahmedabad","Contract","650000.0","10+ years","2025-01-13","Naukri.com","M.Tech","C++, Digital Marketing, Machine Learning","Onsite","Large (500+)"
"Sales Representative","Google","Hyderabad","Internship","650000.0","0-2 years","2024-12-26","Indeed","M.Tech","Machine Learning, Python, C++","Remote","Medium (51-500)"
"Graphic Designer","IBM","Noida","Internship","650000.0","2-5 years","2024-12-26","LinkedIn","PhD","Machine Learning, UI/UX, Java","Hybrid","Small (1-50)"
"Cyber Security Analyst","IBM","Ahmedabad","Full-time","400000.0","2-5 years","2025-01-14","LinkedIn","B.Tech","Python, C++, Digital Marketing","Hybrid","Medium (51-500)"
"Marketing Executive","TCS","Delhi","Full-time","2000000.0","5-10 years","2025-01-10","Indeed","PhD","SQL, Excel, C++","Hybrid","Large (500+)"
"Financial Analyst","Amazon","Delhi","Part-time","400000.0","10+ years","2025-01-01","LinkedIn","PhD","Python, Machine Learning, C++","Hybrid","Small (1-50)"
"Data Scientist","Microsoft","Pune","Contract","1600000.0","0-2 years","2025-01-07","LinkedIn","MBA","Machine Learning, Python, Java","Onsite","Large (500+)"
"Data Scientist","Deloitte","Hyderabad","Contract","2000000.0","2-5 years","2025-01-22","Indeed","M.Tech","Java, C++, UI/UX","Remote","Large (500+)"
"Cyber Security Analyst","Accenture","Chennai","Part-time","400000.0","0-2 years","2025-01-01","LinkedIn","PhD","React, C++, Digital Marketing","Onsite","Large (500+)"
"Graphic Designer","Microsoft","Hyderabad","Internship","400000.0","2-5 years","2025-01-20","Indeed","B.Sc","Java, C++, Python","Remote","Large (500+)"
"Financial Analyst","IBM","Jaipur","Internship","1600000.0","0-2 years","2025-01-11","LinkedIn","B.Tech","AWS, Digital Marketing, React","Hybrid","Medium (51-500)"
"Cyber Security Analyst","Deloitte","Mumbai","Contract","2000000.0","0-2 years","2025-01-13","Naukri.com","M.Tech","Digital Marketing, UI/UX, Java","Hybrid","Small (1-50)"
"Software Engineer","Wipro","Ahmedabad","Internship","2000000.0","0-2 years","2025-01-18","LinkedIn","M.Tech","AWS, Python, UI/UX","Hybrid","Medium (51-500)"
"Graphic Designer","Infosys","Pune","Full-time","1000000.0","5-10 years","2024-12-26","Naukri.com","B.Sc","SQL, Java, Digital Marketing","Onsite","Large (500+)"
"Business Analyst","Wipro","Chennai","Full-time","1000000.0","0-2 years","2025-01-07","LinkedIn","B.Tech","AWS, Python, UI/UX","Hybrid","Small (1-50)"
"Marketing Executive","Microsoft","Mumbai","Part-time","400000.0","2-5 years","2025-01-18","Indeed","B.Tech","Digital Marketing, React, UI/UX","Remote","Small (1-50)"
"Marketing Executive","Deloitte","Jaipur","Internship","2000000.0","5-10 years","2025-01-10","LinkedIn","B.Sc","UI/UX, Excel, Java","Hybrid","Medium (51-500)"
"Data Scientist","Amazon","Bangalore","Contract","400000.0","5-10 years","2025-01-18","Naukri.com","PhD","AWS, SQL, React","Onsite","Medium (51-500)"
"Financial Analyst","IBM","Noida","Part-time","1000000.0","0-2 years","2025-01-19","Indeed","PhD","SQL, UI/UX, Digital Marketing","Onsite","Small (1-50)"
"HR Manager","Wipro","Hyderabad","Full-time","400000.0","5-10 years","2025-01-14","LinkedIn","B.Tech","AWS, React, C++","Onsite","Medium (51-500)"
"Business Analyst","Amazon","Chennai","Part-time","1600000.0","0-2 years","2025-01-12","LinkedIn","MBA","UI/UX, Machine Learning, Excel","Onsite","Small (1-50)"
"Business Analyst","IBM","Ahmedabad","Contract","650000.0","0-2 years","2025-01-14","Naukri.com","B.Tech","Machine Learning, Digital Marketing, Java","Onsite","Small (1-50)"
"Software Engineer","HCL","Chennai","Contract","400000.0","10+ years","2025-01-09","Indeed","MBA","Python, SQL, UI/UX","Onsite","Small (1-50)"
"Graphic Designer","Accenture","Hyderabad","Contract","2000000.0","10+ years","2024-12-27","Indeed","MBA","Java, Excel, SQL","Hybrid","Medium (51-500)"
"Software Engineer","TCS","Noida","Part-time","1600000.0","10+ years","2025-01-12","Indeed","MBA","React, SQL, AWS","Hybrid","Small (1-50)"
"Data Scientist","Wipro","Pune","Internship","1000000.0","5-10 years","2025-01-06","Naukri.com","M.Tech","C++, SQL, AWS","Hybrid","Medium (51-500)"
"Software Engineer","TCS","Delhi","Contract","400000.0","2-5 years","2025-01-08","LinkedIn","M.Tech","Machine Learning, UI/UX, Excel","Remote","Small (1-50)"
"Financial Analyst","Infosys","Delhi","Internship","2000000.0","0-2 years","2025-01-13","LinkedIn","MBA","AWS, UI/UX, React","Hybrid","Medium (51-500)"
"Product Manager","IBM","Ahmedabad","Part-time","2000000.0","2-5 years","2025-01-18","LinkedIn","B.Sc","Excel, SQL, UI/UX","Onsite","Large (500+)"
"HR Manager","Accenture","Kolkata","Contract","1600000.0","2-5 years","2025-01-03","LinkedIn","B.Tech","C++, SQL, React","Remote","Medium (51-500)"
"Financial Analyst","Google","Ahmedabad","Full-time","2000000.0","5-10 years","2024-12-30","Indeed","PhD","SQL, AWS, React","Remote","Large (500+)"
"Product Manager","Google","Jaipur","Full-time","400000.0","0-2 years","2025-01-06","Indeed","PhD","Java, UI/UX, Machine Learning","Remote","Large (500+)"
"Product Manager","IBM","Mumbai","Contract","1600000.0","5-10 years","2025-01-16","Indeed","M.Tech","React, Python, SQL","Remote","Medium (51-500)"
"Data Scientist","Google","Delhi","Part-time","2000000.0","2-5 years","2025-01-07","LinkedIn","PhD","SQL, AWS, Machine Learning","Remote","Medium (51-500)"
"Business Analyst","Microsoft","Chennai","Part-time","1600000.0","10+ years","2025-01-08","LinkedIn","M.Tech","Python, AWS, SQL","Hybrid","Medium (51-500)"
"Data Scientist","IBM","Delhi","Contract","1000000.0","2-5 years","2025-01-14","Naukri.com","B.Tech","SQL, AWS, React","Remote","Small (1-50)"
"Business Analyst","Infosys","Noida","Part-time","400000.0","5-10 years","2024-12-29","LinkedIn","MBA","UI/UX, React, Excel","Remote","Large (500+)"
"Software Engineer","IBM","Hyderabad","Full-time","1600000.0","0-2 years","2025-01-20","Indeed","B.Tech","Java, SQL, UI/UX","Onsite","Medium (51-500)"
"Graphic Designer","Microsoft","Chennai","Contract","2000000.0","5-10 years","2025-01-02","Indeed","PhD","C++, Excel, React","Onsite","Small (1-50)"
"HR Manager","Wipro","Jaipur","Full-time","400000.0","2-5 years","2025-01-01","Indeed","B.Sc","Machine Learning, Python, React","Hybrid","Medium (51-500)"
"Business Analyst","Accenture","Pune","Contract","1600000.0","2-5 years","2025-01-08","Naukri.com","MBA","Digital Marketing, Machine Learning, Java","Onsite","Medium (51-500)"
"Business Analyst","TCS","Hyderabad","Full-time","2000000.0","10+ years","2025-01-12","Naukri.com","B.Sc","Machine Learning, C++, Python","Remote","Large (500+)"
"Data Scientist","TCS","Bangalore","Contract","1000000.0","2-5 years","2025-01-13","LinkedIn","B.Sc","Excel, Machine Learning, Python","Remote","Medium (51-500)"
"Business Analyst","Amazon","Kolkata","Full-time","1000000.0","10+ years","2025-01-04","Indeed","MBA","React, UI/UX, C++","Hybrid","Large (500+)"
"Marketing Executive","Google","Ahmedabad","Full-time","2000000.0","5-10 years","2025-01-08","Indeed","B.Tech","Digital Marketing, Java, UI/UX","Onsite","Medium (51-500)"
"Financial Analyst","Amazon","Ahmedabad","Contract","650000.0","10+ years","2025-01-04","LinkedIn","B.Tech","SQL, Machine Learning, Digital Marketing","Hybrid","Large (500+)"
"Product Manager","Infosys","Ahmedabad","Contract","1000000.0","5-10 years","2024-12-29","LinkedIn","PhD","Excel, Java, UI/UX","Remote","Small (1-50)"
"Data Scientist","Amazon","Delhi","Full-time","2000000.0","10+ years","2025-01-03","Indeed","B.Tech","Digital Marketing, UI/UX, AWS","Remote","Large (500+)"
"Product Manager","IBM","Kolkata","Contract","400000.0","0-2 years","2025-01-13","Indeed","B.Tech","UI/UX, Excel, Digital Marketing","Remote","Large (500+)"
"Product Manager","Microsoft","Kolkata","Contract","650000.0","0-2 years","2024-12-26","Indeed","M.Tech","UI/UX, Java, Machine Learning","Remote","Small (1-50)"
"Sales Representative","HCL","Hyderabad","Internship","400000.0","2-5 years","2024-12-30","Naukri.com","PhD","SQL, C++, Python","Remote","Medium (51-500)"
"Graphic Designer","IBM","Delhi","Full-time","650000.0","10+ years","2025-01-22","LinkedIn","MBA","C++, Python, Machine Learning","Hybrid","Large (500+)"
"HR Manager","TCS","Mumbai","Part-time","2000000.0","10+ years","2024-12-25","Indeed","PhD","Excel, Digital Marketing, Java","Onsite","Medium (51-500)"
"HR Manager","IBM","Hyderabad","Part-time","2000000.0","10+ years","2025-01-07","Naukri.com","B.Tech","Digital Marketing, SQL, UI/UX","Remote","Small (1-50)"
"Business Analyst","Accenture","Chennai","Contract","1600000.0","10+ years","2025-01-19","Naukri.com","B.Tech","Excel, SQL, Machine Learning","Remote","Medium (51-500)"
"Sales Representative","Microsoft","Kolkata","Internship","1000000.0","5-10 years","2025-01-07","LinkedIn","B.Tech","C++, UI/UX, Excel","Onsite","Small (1-50)"
"Cyber Security Analyst","Microsoft","Pune","Internship","1000000.0","0-2 years","2025-01-03","Naukri.com","B.Tech","UI/UX, Machine Learning, Excel","Hybrid","Large (500+)"
"Graphic Designer","Wipro","Noida","Contract","2000000.0","0-2 years","2025-01-09","Indeed","B.Sc","Machine Learning, Digital Marketing, React","Remote","Small (1-50)"
"Data Scientist","Amazon","Kolkata","Internship","400000.0","10+ years","2025-01-12","Naukri.com","PhD","UI/UX, SQL, Python","Hybrid","Medium (51-500)"
"Product Manager","Deloitte","Ahmedabad","Contract","1600000.0","0-2 years","2024-12-24","Naukri.com","B.Sc","UI/UX, AWS, Digital Marketing","Hybrid","Medium (51-500)"
"Graphic Designer","Amazon","Delhi","Part-time","650000.0","10+ years","2025-01-04","Indeed","B.Sc","C++, Excel, Java","Onsite","Medium (51-500)"
"Graphic Designer","Wipro","Noida","Part-time","650000.0","5-10 years","2024-12-29","Naukri.com","MBA","Python, Java, Excel","Remote","Medium (51-500)"
"Financial Analyst","Wipro","Ahmedabad","Part-time","650000.0","10+ years","2025-01-03","Indeed","PhD","Excel, React, Python","Remote","Small (1-50)"
"Financial Analyst","Deloitte","Jaipur","Internship","2000000.0","0-2 years","2025-01-02","LinkedIn","B.Sc","Python, AWS, C++","Remote","Medium (51-500)"
"Financial Analyst","Amazon","Mumbai","Part-time","1000000.0","0-2 years","2025-01-09","Indeed","MBA","Python, UI/UX, Machine Learning","Hybrid","Small (1-50)"
"Business Analyst","HCL","Mumbai","Full-time","2000000.0","5-10 years","2024-12-25","LinkedIn","B.Sc","Excel, SQL, UI/UX","Remote","Large (500+)"
"Graphic Designer","Accenture","Noida","Full-time","1000000.0","5-10 years","2025-01-18","LinkedIn","M.Tech","AWS, C++, Java","Hybrid","Small (1-50)"
"Software Engineer","Infosys","Chennai","Contract","650000.0","0-2 years","2025-01-04","LinkedIn","B.Sc","Java, C++, AWS","Remote","Medium (51-500)"
"Cyber Security Analyst","Infosys","Mumbai","Internship","650000.0","0-2 years","2025-01-17","Indeed","MBA","Python, C++, UI/UX","Onsite","Medium (51-500)"
"Data Scientist","Microsoft","Ahmedabad","Internship","1000000.0","0-2 years","2025-01-10","Naukri.com","M.Tech","C++, React, Python","Remote","Medium (51-500)"
"Sales Representative","IBM","Delhi","Contract","2000000.0","10+ years","2025-01-10","Naukri.com","B.Tech","Python, UI/UX, Machine Learning","Onsite","Medium (51-500)"
"Business Analyst","Accenture","Ahmedabad","Full-time","1600000.0","10+ years","2024-12-28","LinkedIn","PhD","Excel, React, C++","Remote","Medium (51-500)"
"Software Engineer","Accenture","Delhi","Full-time","400000.0","5-10 years","2024-12-26","Naukri.com","MBA","Excel, AWS, Python","Hybrid","Large (500+)"
"Software Engineer","Amazon","Delhi","Internship","650000.0","10+ years","2025-01-11","Naukri.com","B.Tech","React, Python, Digital Marketing","Remote","Large (500+)"
"Cyber Security Analyst","IBM","Delhi","Internship","650000.0","10+ years","2024-12-30","Indeed","B.Sc","Machine Learning, SQL, Java","Onsite","Medium (51-500)"
"Business Analyst","Deloitte","Delhi","Internship","650000.0","2-5 years","2024-12-29","Naukri.com","PhD","UI/UX, Digital Marketing, Machine Learning","Onsite","Large (500+)"
"Product Manager","Deloitte","Jaipur","Part-time","650000.0","5-10 years","2025-01-12","Naukri.com","M.Tech","AWS, C++, Python","Hybrid","Small (1-50)"
"HR Manager","Microsoft","Bangalore","Part-time","400000.0","0-2 years","2025-01-15","Indeed","MBA","C++, Excel, React","Remote","Large (500+)"
"Graphic Designer","IBM","Noida","Full-time","650000.0","10+ years","2025-01-02","LinkedIn","M.Tech","Machine Learning, UI/UX, Excel","Hybrid","Medium (51-500)"
"Product Manager","Google","Delhi","Part-time","1600000.0","2-5 years","2025-01-11","LinkedIn","M.Tech","UI/UX, Excel, React","Hybrid","Medium (51-500)"
"Software Engineer","Microsoft","Ahmedabad","Contract","1600000.0","10+ years","2025-01-06","Indeed","MBA","AWS, Java, Digital Marketing","Onsite","Medium (51-500)"
"Cyber Security Analyst","Deloitte","Jaipur","Internship","1000000.0","2-5 years","2024-12-30","LinkedIn","M.Tech","SQL, C++, Python","Onsite","Large (500+)"
"Sales Representative","IBM","Kolkata","Contract","400000.0","0-2 years","2025-01-06","Naukri.com","MBA","Python, Java, SQL","Remote","Large (500+)"
"Product Manager","Deloitte","Hyderabad","Contract","2000000.0","0-2 years","2025-01-22","LinkedIn","PhD","SQL, Excel, UI/UX","Remote","Large (500+)"
"HR Manager","Deloitte","Chennai","Full-time","1000000.0","5-10 years","2025-01-03","Indeed","MBA","SQL, Java, Excel","Hybrid","Medium (51-500)"
"Data Scientist","Wipro","Jaipur","Contract","2000000.0","10+ years","2025-01-21","Naukri.com","B.Tech","C++, React, UI/UX","Onsite","Medium (51-500)"
"Data Scientist","Infosys","Jaipur","Internship","1000000.0","10+ years","2025-01-10","Naukri.com","PhD","AWS, Java, UI/UX","Onsite","Large (500+)"
"Sales Representative","TCS","Noida","Contract","1000000.0","5-10 years","2025-01-21","Naukri.com","MBA","Excel, C++, React","Hybrid","Medium (51-500)"
"Graphic Designer","TCS","Ahmedabad","Contract","1600000.0","2-5 years","2025-01-09","Indeed","M.Tech","Excel, React, C++","Hybrid","Small (1-50)"
"HR Manager","Infosys","Kolkata","Part-time","1600000.0","2-5 years","2025-01-09","Naukri.com","MBA","SQL, React, AWS","Remote","Small (1-50)"
"Product Manager","Amazon","Kolkata","Full-time","400000.0","10+ years","2025-01-20","Naukri.com","B.Sc","AWS, UI/UX, Excel","Onsite","Large (500+)"
"Data Scientist","Accenture","Pune","Internship","650000.0","5-10 years","2025-01-07","Naukri.com","B.Tech","AWS, Machine Learning, Java","Remote","Large (500+)"
"Software Engineer","Amazon","Chennai","Full-time","400000.0","0-2 years","2025-01-19","LinkedIn","B.Sc","AWS, Machine Learning, Python","Onsite","Medium (51-500)"
"Sales Representative","Wipro","Delhi","Part-time","650000.0","0-2 years","2025-01-03","Indeed","MBA","React, Excel, Machine Learning","Hybrid","Small (1-50)"
"Cyber Security Analyst","Google","Hyderabad","Contract","2000000.0","5-10 years","2025-01-08","LinkedIn","B.Sc","SQL, Python, AWS","Onsite","Medium (51-500)"
"Marketing Executive","Wipro","Jaipur","Part-time","1600000.0","5-10 years","2025-01-21","Indeed","M.Tech","C++, SQL, AWS","Hybrid","Medium (51-500)"
"Cyber Security Analyst","Amazon","Chennai","Contract","650000.0","5-10 years","2024-12-30","Indeed","B.Tech","Machine Learning, Python, AWS","Onsite","Large (500+)"
"HR Manager","Microsoft","Bangalore","Internship","1000000.0","2-5 years","2025-01-13","LinkedIn","B.Sc","React, Java, SQL","Onsite","Medium (51-500)"
"Product Manager","Google","Hyderabad","Part-time","1000000.0","5-10 years","2025-01-17","LinkedIn","B.Sc","AWS, Java, UI/UX","Remote","Large (500+)"
"HR Manager","Microsoft","Ahmedabad","Internship","400000.0","5-10 years","2025-01-18","Naukri.com","MBA","AWS, SQL, Digital Marketing","Remote","Medium (51-500)"
"Cyber Security Analyst","Wipro","Jaipur","Contract","1000000.0","5-10 years","2024-12-31","Indeed","PhD","UI/UX, Java, Excel","Onsite","Medium (51-500)"
"Cyber Security Analyst","Deloitte","Pune","Part-time","2000000.0","10+ years","2025-01-10","Indeed","M.Tech","C++, Digital Marketing, Machine Learning","Onsite","Large (500+)"
"Marketing Executive","Amazon","Hyderabad","Part-time","400000.0","2-5 years","2025-01-08","Indeed","M.Tech","AWS, Java, C++","Remote","Small (1-50)"
"Data Scientist","IBM","Bangalore","Full-time","1000000.0","2-5 years","2025-01-01","Indeed","PhD","Python, Machine Learning, SQL","Hybrid","Medium (51-500)"
"Financial Analyst","Amazon","Bangalore","Full-time","400000.0","5-10 years","2025-01-20","Naukri.com","MBA","Machine Learning, UI/UX, SQL","Remote","Small (1-50)"
"Software Engineer","Microsoft","Pune","Full-time","1000000.0","2-5 years","2024-12-25","Naukri.com","MBA","AWS, Machine Learning, C++","Onsite","Small (1-50)"
"Product Manager","Amazon","Delhi","Full-time","1600000.0","2-5 years","2025-01-11","LinkedIn","MBA","Python, React, C++","Onsite","Large (500+)"
"Business Analyst","Accenture","Mumbai","Internship","1000000.0","2-5 years","2025-01-05","Indeed","PhD","C++, SQL, Excel","Onsite","Large (500+)"
"Data Scientist","Accenture","Pune","Internship","400000.0","2-5 years","2025-01-17","Indeed","MBA","Excel, Machine Learning, React","Hybrid","Medium (51-500)"
"Software Engineer","Microsoft","Ahmedabad","Part-time","1600000.0","2-5 years","2025-01-15","LinkedIn","B.Sc","Excel, Digital Marketing, Java","Remote","Large (500+)"
"Business Analyst","Wipro","Mumbai","Contract","1600000.0","0-2 years","2025-01-02","LinkedIn","M.Tech","Excel, C++, UI/UX","Onsite","Small (1-50)"
"Data Scientist","Amazon","Pune","Internship","650000.0","0-2 years","2024-12-27","LinkedIn","B.Tech","UI/UX, React, Python","Hybrid","Small (1-50)"
"Business Analyst","Amazon","Ahmedabad","Internship","1600000.0","5-10 years","2025-01-01","Indeed","MBA","SQL, AWS, Digital Marketing","Onsite","Small (1-50)"
"HR Manager","Accenture","Ahmedabad","Part-time","400000.0","0-2 years","2025-01-17","Indeed","B.Sc","Java, React, UI/UX","Hybrid","Small (1-50)"
"Sales Representative","TCS","Mumbai","Full-time","400000.0","2-5 years","2025-01-13","Indeed","MBA","React, UI/UX, SQL","Remote","Small (1-50)"
"Graphic Designer","Deloitte","Bangalore","Internship","1600000.0","0-2 years","2025-01-22","LinkedIn","B.Sc","SQL, C++, UI/UX","Remote","Small (1-50)"
"Graphic Designer","IBM","Noida","Contract","2000000.0","10+ years","2025-01-03","Naukri.com","B.Tech","Java, AWS, Machine Learning","Hybrid","Small (1-50)"
"Data Scientist","Wipro","Delhi","Part-time","400000.0","2-5 years","2025-01-12","Indeed","M.Tech","Digital Marketing, C++, Python","Remote","Large (500+)"
"Marketing Executive","Microsoft","Bangalore","Part-time","1000000.0","5-10 years","2025-01-08","Naukri.com","MBA","Excel, Java, Machine Learning","Hybrid","Large (500+)"
"Financial Analyst","Deloitte","Hyderabad","Contract","2000000.0","0-2 years","2024-12-28","LinkedIn","B.Tech","UI/UX, Python, Machine Learning","Hybrid","Small (1-50)"
"Financial Analyst","Deloitte","Jaipur","Internship","400000.0","0-2 years","2025-01-15","LinkedIn","MBA","UI/UX, Python, Digital Marketing","Onsite","Small (1-50)"
"Sales Representative","Microsoft","Jaipur","Part-time","650000.0","2-5 years","2024-12-24","Naukri.com","MBA","AWS, SQL, Excel","Onsite","Large (500+)"
"HR Manager","Google","Noida","Internship","650000.0","0-2 years","2024-12-28","Naukri.com","B.Tech","Java, AWS, Machine Learning","Remote","Large (500+)"
"Sales Representative","Amazon","Ahmedabad","Internship","650000.0","2-5 years","2025-01-10","Indeed","M.Tech","C++, UI/UX, AWS","Hybrid","Small (1-50)"
"Data Scientist","Wipro","Jaipur","Internship","2000000.0","10+ years","2025-01-11","Indeed","B.Sc","UI/UX, Excel, SQL","Onsite","Small (1-50)"
"Cyber Security Analyst","Wipro","Chennai","Full-time","1000000.0","0-2 years","2025-01-18","LinkedIn","M.Tech","UI/UX, SQL, React","Hybrid","Small (1-50)"
"Data Scientist","Amazon","Chennai","Contract","1000000.0","10+ years","2024-12-30","Naukri.com","M.Tech","Java, Machine Learning, Digital Marketing","Hybrid","Small (1-50)"
"Sales Representative","TCS","Pune","Contract","1600000.0","0-2 years","2025-01-16","LinkedIn","B.Sc","SQL, React, Digital Marketing","Remote","Small (1-50)"
"Product Manager","HCL","Jaipur","Contract","1600000.0","0-2 years","2025-01-06","Indeed","PhD","UI/UX, C++, SQL","Remote","Small (1-50)"
"Cyber Security Analyst","Infosys","Chennai","Part-time","650000.0","0-2 years","2024-12-29","Naukri.com","M.Tech","Digital Marketing, SQL, Excel","Remote","Small (1-50)"
"HR Manager","Microsoft","Pune","Part-time","400000.0","0-2 years","2025-01-19","Naukri.com","PhD","UI/UX, SQL, Machine Learning","Hybrid","Large (500+)"
"Business Analyst","Google","Jaipur","Full-time","400000.0","2-5 years","2025-01-10","Naukri.com","M.Tech","UI/UX, Machine Learning, Java","Onsite","Large (500+)"
